,code,desc,iure11,facto11,iure01,facto01,iure91,facto91,perifereia,nomos,dimos,dimenot,koinot,kath,article_kath,article_dim,lat,long,elev
12706,7204011102,Κάτω Επισκοπή,139,136,104,101,119,124,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Πισκοκεφάλου,Κάτω Επισκοπή,η,η,,,
12707,7204011201,Άγιος Σπυρίδων,24,24,32,41,48,52,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Πραισού,Άγιος Σπυρίδων,ο,ο,35.11281,26.08151,
12708,7204011202,Καλαμαύκι,0,0,0,0,0,0,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Πραισού,Καλαμαύκι,το,το,,,
12709,7204011203,Νέα Πραισός,32,31,41,44,44,55,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Πραισού,Νέα Πραισός,η,η,35.11193,26.08799,
12710,7204011301,Ρούσσα Εκκλησία,194,200,155,172,168,175,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Ρούσσας Εκκλησίας,Ρούσσα Εκκλησία,η,η,,,
12711,7204011302,Διόνυσος,19,19,12,16,0,0,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Ρούσσας Εκκλησίας,Διόνυσος,ο,ο,,,
12712,7204011401,Σκοπή,553,544,721,716,826,811,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Σκοπής,Σκοπή,η,η,35.17747,26.03888,
12713,7204011402,Ξερόκαμπος,13,13,28,28,45,45,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Σκοπής,Ξερόκαμπος,ο,ο,,,
12714,7204011403,Παναγία Φανερωμένη,20,16,5,17,0,0,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Σκοπής,Παναγία Φανερωμένη,η,η,,,
12715,7204011404,Παπαδιόκαμπος,55,57,20,28,78,82,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Σκοπής,Παπαδιόκαμπος,ο,ο,,,
12716,7204011405,Σαραντάπηχος,133,133,48,49,0,0,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Σκοπής,Σαραντάπηχος,ο,ο,,,
12717,7204011501,Σταυρωμένος,61,60,88,94,122,122,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Σταυρωμένου,Σταυρωμένος,ο,ο,35.16134,26.11368,
12718,7204011502,Αρνικό,51,51,68,72,99,105,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Σταυρωμένου,Αρνικόν,το,το,35.16369,26.11591,
12719,7204011503,Ζου,32,37,28,28,38,38,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Σταυρωμένου,Ζου,η,η,35.15566,26.10724,
12720,7204011504,Κάτω Δρυς,17,17,20,22,35,35,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Σταυρωμένου,Κάτω Δρυς,ο,ο,35.15566,26.11583,
12721,7204011601,Σφάκα,248,252,292,328,376,385,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Σφάκας,Σφάκα,η,η,35.15433,25.92353,
12722,7204011602,Άγιος Ανδρέας,74,74,84,94,118,132,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Σφάκας,Άγιος Ανδρέας,ο,ο,35.17771,25.9194,
12723,7204011701,Τουρλωτή,299,302,350,356,404,435,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Τουρλωτής,Τουρλωτή,η,η,35.16023,25.93811,
12724,7204011702,Μόχλος,121,119,87,91,61,67,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Τουρλωτής,Μόχλος,ο,ο,35.18406,25.90482,
12725,7204011801,Χαμέζι,253,253,249,241,290,309,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,Χαμεζίου,Χαμέζιον,το,το,35.17558,26.01879,
12726,7204020101,Παλαίκαστρο,953,923,1092,1084,982,1048,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΙΤΑΝΟΥ,Παλαικάστρου,Παλαίκαστρον,το,το,35.19793,26.25429,
12727,7204020102,Αγκάθια,138,135,135,136,135,173,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΙΤΑΝΟΥ,Παλαικάστρου,Αγκάθια,τα,τα,,,
12728,7204020103,Βίγλα,29,21,19,34,0,0,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΙΤΑΝΟΥ,Παλαικάστρου,Βίγλα,η,η,,,
12729,7204020104,Κουρεμένος,15,16,23,27,0,0,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,ΙΤΑΝΟΥ,Παλαικάστρου,Κουρεμένος,ο,ο,37.20717,22.37336,
